ID,Code,Depth m,Temp C,Temp Group,Bore,Color,ID2,avg percent moisture ,std percent moisture,ave percent total carbon,std percent total carbon
MH1710,CW_2033_R2,15.24,53,Low,A,#05b8ff,A1,14.25,4.60,11.91,1.00
MH1711,CW_2033_R2,18.29,54,Low,A,#05b8ff,A2,21.25,15.04,23.12,1.71
MH1712,CW_2033_R2,21.34,63,Med,A,#05b8ff,A3,24.19,10.45,19.43,1.49
MH1713,CW_2033_R2,24.38,71,Med,A,#05b8ff,A4,21.32,12.80,23.52,0.16
MH1714,CW_2033_R2,27.43,68,Med,A,#05b8ff,A5,45.49,24.48,27.05,2.32
MH1715,CW_2033_R2,30.48,69,Med,A,#05b8ff,A6,49.49,11.12,24.35,1.28
MH1724,CDEW_3064_B,3.05,47,Low,B,#ffd105,B1,33.01,1.70,64.93,1.96
MH1725,CDEW_3064_B,6.1,53,Low,B,#ffd105,B2,24.31,8.25,19.00,0.67
MH1726,CDEW_3064_B,9.14,62,Low,B,#ffd105,B3,25.75,10.68,25.12,1.42
MH1727,CDEW_3064_B,12.19,69,Med,B,#ffd105,B4,23.03,11.12,30.97,1.94
MH1728,CDEW_3064_B,15.24,73,Med,B,#ffd105,B5,22.53,5.34,33.80,2.38
MH1730,CDEW_3064_B,21.34,84,High,B,#ffd105,B6,20.56,1.63,35.56,3.07
MH1731,CDEW_3064_B,24.38,84,High,B,#ffd105,B7,21.50,7.46,28.03,1.38
MH1732,CDEW_3064_B,27.43,85,High,B,#ffd105,B8,18.50,2.22,31.59,3.18
MH1734,CDEW_3064_B,33.53,74,Med,B,#ffd105,B9,9.06,5.19,15.18,1.09
MH1735,CDEW_3064_B,36.58,81,High,B,#ffd105,B10,15.63,6.98,11.00,0.49
MH1736,CDEW_3064_B,39.62,63,Med,B,#ffd105,B11,17.23,9.33,21.46,0.62
MH1737,CDEW_3064_B,42.67,81,High,B,#ffd105,B12,25.28,7.31,17.97,0.44
MH1738,CDEW_3065,0.61,27,Low,C,#ff0565,C1,11.44,4.67,7.13,1.12
MH1739,CDEW_3065,3.05,50,Low,C,#ff0565,C2,24.18,15.67,23.91,0.49
MH1740,CDEW_3065,6.1,62,Low,C,#ff0565,C3,18.84,14.12,17.36,0.59
MH1741,CDEW_3065,9.14,68,Med,C,#ff0565,C4,14.56,12.45,21.15,1.50
MH1742,CDEW_3065,12.19,79,Med,C,#ff0565,C5,19.87,4.46,19.90,1.82
MH1744,CDEW_3065,18.29,83,High,C,#ff0565,C6,10.84,2.92,5.75,0.23
MH1745,CDEW_3065,21.34,80,Med,C,#ff0565,C7,20.06,8.29,23.67,0.87
MH1748,CDEW_3065,30.48,86,High,C,#ff0565,C8,13.71,2.04,12.11,0.05
